player_id,player_name,team,age,games_played,minutes,ppg,rpg,apg,spg,bpg,tov,fg_pct,fg3_pct,ft_pct,plus_minus,oreb,dreb,fg3a,fta,fga,off_rating,def_rating,net_rating,ts_pct,usg_pct,ast_pct,oreb_pct,dreb_pct,efg_pct,pie,salary,years_remaining,contract_type,salary_2627,salary_2728,salary_2829,salary_2930,salary_3031,guaranteed_millions,availability_pct,position,salary_millions,pct_scoring,pct_playmaking,pct_rebounding,pct_efficiency,pct_defense_steals,pct_defense_blocks,pct_availability,pct_ts,pct_usg,pct_net_rating,pct_pie,pct_off_rating,pct_def_rating,pct_defense,ts_pct_display,pie_display
1642277,Johnny Furphy,IND,21.0,35,18.4,5.1,4.4,1.2,0.6,0.2,0.8,0.47,0.324,0.486,-1.7,0.9,3.5,2.0,1.0,4.3,110.1,114.8,-4.6,0.547,0.125,0.085,0.049,0.191,0.547,0.066,1955377.0,2,Multi-Year,2.3,2.49,0.0,0.0,0.0,4.25,42.7,SG,1.96,0.152,0.257,0.645,0.531,0.331,0.282,0.275,0.302,0.125,0.33,0.17,0.316,0.381,0.331,54.7,6.6
1642269,Devin Carter,SAC,24.0,38,18.4,8.9,3.3,2.7,0.9,0.2,1.4,0.414,0.263,0.713,-3.0,0.9,2.3,3.0,2.5,7.7,111.0,118.3,-7.3,0.508,0.226,0.209,0.048,0.13,0.466,0.094,4923720.0,2,Multi-Year,5.16,7.37,0.0,0.0,0.0,10.08,46.3,PG,4.92,0.487,0.664,0.44,0.097,0.653,0.282,0.313,0.109,0.798,0.247,0.559,0.396,0.17,0.368,50.8,9.4
1628380,Zach Collins,CHI,28.0,10,18.4,9.7,5.6,1.5,0.2,0.4,1.0,0.578,0.429,0.7,1.8,1.6,4.0,2.1,2.0,6.4,115.0,111.6,3.4,0.666,0.177,0.114,0.081,0.205,0.648,0.123,18080496.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,18.08,12.2,C,18.08,0.537,0.361,0.804,0.937,0.029,0.582,0.086,0.927,0.502,0.726,0.836,0.734,0.667,0.426,66.6,12.3
1642933,Keshon Gilbert,ATL,22.0,4,18.4,4.3,1.3,3.0,0.8,1.0,2.0,0.417,0.0,1.0,-14.5,0.5,0.8,0.8,1.8,3.0,103.2,141.3,-38.1,0.564,0.131,0.222,0.028,0.046,0.417,0.049,73153.0,0,Minimum,0.0,0.0,0.0,0.0,0.0,0.07,3.7,PG,0.07,0.092,0.712,0.051,0.029,0.552,0.91,0.02,0.404,0.152,0.002,0.043,0.045,0.0,0.487,56.4,4.9
201144,Mike Conley,MIN,38.0,54,18.4,4.5,1.7,2.9,0.6,0.3,0.6,0.335,0.337,0.9,0.3,0.3,1.4,3.1,0.9,4.0,112.3,112.1,0.2,0.517,0.113,0.205,0.017,0.074,0.465,0.061,11499872.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,10.77,65.9,PG,11.5,0.127,0.696,0.087,0.092,0.331,0.443,0.502,0.142,0.068,0.562,0.128,0.5,0.621,0.465,51.7,6.1
1631245,Quenton Jackson,IND,27.0,49,18.3,9.1,2.3,2.9,0.6,0.1,1.3,0.47,0.356,0.824,-1.3,0.6,1.8,2.4,2.4,6.7,109.1,112.9,-3.8,0.589,0.2,0.227,0.03,0.092,0.534,0.096,1000000.0,0,Minimum,0.0,0.0,0.0,0.0,0.0,0.0,59.8,PG,1.0,0.495,0.696,0.206,0.435,0.331,0.133,0.438,0.601,0.679,0.376,0.579,0.24,0.569,0.344,58.9,9.6
1629637,Jaxson Hayes,LAL,25.0,66,18.3,7.5,4.1,0.9,0.4,0.8,0.5,0.756,1.0,0.653,1.1,1.5,2.6,0.0,2.3,4.0,115.5,113.1,2.4,0.758,0.124,0.071,0.083,0.139,0.761,0.109,3449323.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,3.45,80.5,C,3.45,0.369,0.149,0.604,0.994,0.132,0.849,0.694,0.992,0.122,0.674,0.71,0.755,0.545,0.509,75.8,10.9
1627936,Alex Caruso,OKC,32.0,56,18.2,6.2,2.8,2.0,1.3,0.3,0.9,0.423,0.293,0.804,6.8,0.5,2.3,3.2,0.9,5.4,116.9,99.3,17.6,0.54,0.152,0.145,0.028,0.113,0.512,0.093,18102000.0,3,Multi-Year,19.55,21.0,22.45,0.0,0.0,81.1,68.3,SG,18.1,0.265,0.506,0.327,0.274,0.891,0.443,0.531,0.258,0.309,0.997,0.542,0.818,0.994,0.776,54.0,9.3
1631093,Jaden Ivey,CHI,24.0,37,18.1,8.5,2.5,1.8,0.6,0.4,1.1,0.445,0.373,0.809,0.7,0.6,1.8,3.6,1.3,6.9,110.3,108.2,2.1,0.571,0.192,0.145,0.034,0.096,0.543,0.091,10107163.0,0,Expiring,0.0,0.0,0.0,0.0,0.0,10.11,40.2,SG,10.11,0.456,0.452,0.258,0.504,0.331,0.582,0.252,0.459,0.622,0.656,0.513,0.335,0.889,0.601,57.1,9.1
1641854,Craig Porter Jr.,CLE,26.0,64,17.9,4.5,3.4,3.2,0.9,0.6,0.9,0.45,0.355,0.6,1.6,1.3,2.1,1.5,0.6,4.0,116.2,111.6,4.6,0.524,0.119,0.225,0.07,0.115,0.514,0.092,2221677.0,1,Multi-Year,2.41,0.0,0.0,0.0,0.0,0.0,78.0,PG,2.22,0.127,0.736,0.466,0.283,0.653,0.754,0.647,0.17,0.096,0.792,0.524,0.794,0.667,0.691,52.4,9.2
